**Identified Datasets for the Department of Health and Mental Hygiene**

1.  **Violation and Penalty Records**
    *   "Any responsible person who violates any rules promulgated pursuant to this section shall be liable to pay a penalty as provided by the health code of the city of New York, the administrative code of the city of New York or any other applicable law, rule or regulation." (§ 17-196.g)
    *   "Any person who violates the provisions of subdivision a, b, or c of section 17-307 of this subchapter shall be guilty of a violation, punishable by a fine of not less than $150 nor more than $250." (§ 17-325.a)
    *   "In addition to the penalties prescribed by subdivision a of this section, any person who violates, or any person aiding another to violate, the provisions of subdivision a, b, or c of section 17-307 shall be liable for a civil penalty of not less than $150 nor more than $1,000 together with a penalty of $100 per day for every day during which the unlicensed business operated..." (§ 17-325.b.1)
    *   "Any person who violates any provision of this subchapter or any of the regulations promulgated hereunder shall be guilty of a misdemeanor punishable by a fine or not less than one hundred dollars nor more than five hundred dollars or by imprisonment not exceeding fifteen days, or both." (§ 17-332.a)
    *   "In lieu of criminal prosecution, any violation of this subchapter or any of the rules promulgated hereunder may be prosecuted as civil violations subject to a civil penalty of not less than twenty-five dollars nor more than five hundred dollars or by the suspension or revocation of a license and the suspension from work of the horse with respect to which the act caused the violation was committed or by both such civil penalty and suspension." (§ 17-332.b)
    *   "Any person who violates any provision of this subchapter or any of the regulations promulgated hereunder shall be guilty of a misdemeanor punishable by a fine or not less than five hundred nor more than five thousand dollars or by imprisonment for not more than one year, or both." (§ 17-350.a)
    *   "In addition to any other penalty imposed by any other provision of law or rule promulgated thereunder, any person found to be in violation of this subchapter or any of the rules promulgated hereunder shall be liable for a civil penalty of not more than three hundred dollars for the first violation; not more than five hundred dollars for the second violation within a two-year period; and not more than one thousand dollars for the third and all subsequent violations within a two-year period." (§ 17-362.b)
    *   "Any owner or operator of a boarding kennel, business or establishment that violates any provision of this subchapter shall be liable for a civil penalty of two hundred and fifty dollars for each violation." (§ 17-370)
    *   "Any person found in violation of any provision of this subchapter, other than subdivision b of section 17-377, or any provision of any rule promulgated thereunder shall be subject to a civil penalty of five hundred dollars per day for each such violation." (§ 17-381.a)
    *   "Any person violating any of the provisions of this chapter shall be liable and responsible for a penalty of not more than one thousand dollars to be recovered in a civil action but in the name of the city in any court of record in the city." (§ 17-408.a)
    *   "Every person who violates subdivisions a or b of this section shall, for a first violation thereof, be liable for a civil penalty of not less than two hundred dollars nor more than four hundred dollars; for a second violation, both of which were committed within a period of twelve months, be liable for a civil penalty of not less than five hundred dollars nor more than one thousand dollars; and for a third or subsequent violation, all of which were committed within a period of twelve months, be liable for a civil penalty of not less than one thousand dollars nor more than two thousand dollars." (§ 17-508.e.1)
    *   "Every person who violates subdivision d of this section shall be liable for a civil penalty of one hundred dollars for each violation, except that every person who violates subdivision d of this section by smoking, or using an electronic cigarette, in a pedestrian plaza as prohibited by paragraph seven of subdivision c of section 17-503 or in a park or other property under the jurisdiction of the department of parks and recreation as prohibited by paragraph three of subdivision d of section 17-503 shall be liable for a civil penalty of fifty dollars for each violation." (§ 17-508.e.3)
    *   "Any person found to be in violation of section 17-703 shall be liable for a civil penalty of not more than five thousand dollars for the first violation, and not more than five thousand dollars for each additional violation found on that day; and not more than ten thousand dollars for the second violation and each subsequent violation by that person." (§ 17-710.a.1)
    *   "Any person who violates subdivision a of section 17-715 shall be liable for a civil penalty of not more than one thousand dollars for the first violation, and not more than one thousand dollars for each additional violation found on that day; and not more than two thousand dollars for the second violation at the same place of business within a three-year period, and not more than two thousand dollars for each additional violation found on that day; and not more than five thousand dollars for the third and all subsequent violations at the same place of business within a three-year period." (§ 17-716.a)
    *   "Any person found to be in violation of subdivision (b), (c) or (d) of section 17-804, section 17-814, or section 17-815 of this chapter or any of the rules promulgated thereunder shall be liable for a civil penalty of five hundred dollars for each violation." (§ 17-806)
    *   "Any person found in violation of any provision of this chapter or any provision of any rule promulgated thereunder, shall be subject to a civil penalty of $500 per day for each such violation." (§ 17-1707)
    *   "Any person who is found to violate any provision of this chapter shall be subject to a civil penalty of not less than $500 and not more than $2,000 for each violation." (§ 17-1903.a)
    *   "Any person found in violation of section 17-1603 or 17-1604 or any rules promulgated thereunder shall be guilty of a misdemeanor punishable by incarceration for not more than one year or a fine of up to one thousand dollars, or both." (§ 17-1607.a)
    *   "Any person found to be in violation of section 17-1402 or 17-1403 of this chapter or rules of the department promulgated pursuant thereto shall be liable for a civil penalty of not more than five hundred dollars for each violation. Any person found to be in violation of section 17-1405 or 17-1407 of this chapter or rules of the department promulgated pursuant thereto shall be liable for a civil penalty of not more than two hundred fifty dollars for each violation." (§ 17-1409)
    *   "Any child care service found in violation of section 17-1303 or any provision of any rule promulgated thereunder shall be subject to a civil penalty of $500 for each such violation." (§ 17-1307.a)
    *   "Any person providing a commercial lawn application who violates any provision of subdivision b of section 17-1102 of this chapter or any rule promulgated pursuant thereto shall be liable for a civil penalty not to exceed five thousand dollars for a first violation, and not to exceed ten thousand dollars for a subsequent offense." (§ 17-1104.a.1)
    *   "Any food service establishment that violates subdivision a of this section, or any rules promulgated pursuant to this section, shall be liable for a civil penalty of not more than $200..." (§ 17-1507.c)
    *   "A food service establishment that fails to display or conspicuously display a grade card or grade pending card in violation of subdivision a of this section shall be subject to a civil penalty of $500." (§ 17-1508.b)
    *   "A food service establishment that violates subdivision a of this section or any rule promulgated pursuant thereto shall be subject to a civil penalty of $400." (§ 17-1509.b)
    *   "A food service establishment that violates this subdivision or any rule promulgated thereunder shall be subject to the following penalties: for one or two such employees observed without hair coverings, $100; for three such employees observed without hair coverings, $125; and for four or more such employees observed without hair coverings, $150; except that there shall be a civil penalty of $0 imposed upon a food service establishment for a first-time violation of this subdivision or any rule or regulation issued thereunder." (§ 17-1510.a.2)
    *   "A food service establishment that violates this section or any rule promulgated pursuant to this section shall be subject to a civil penalty of $100..." (§ 17-1511.c)
    *   "A food service establishment that violates this section or any rule promulgated thereunder shall be subject to a civil penalty of $200." (§ 17-1512.b)
    *   "A food service establishment that violates this section or any rule promulgated pursuant thereto shall be subject to a civil penalty of $100..." (§ 17-1513.b)
    *   "A food service establishment that violates this section or any rule promulgated pursuant to this section shall be subject to a civil penalty of $100..." (§ 17-1514.b)
    *   "A food service establishment that violates this section or any rule promulgated pursuant to this section shall be subject to a civil penalty of $100..." (§ 17-1515.b)
    *   "A food service establishment that violates this section or any rule promulgated pursuant to this section shall be subject to a civil penalty of $100..." (§ 17-1516.b)
    *   "A food service establishment that violates this section or any rule promulgated pursuant to this section shall be subject to a civil penalty of $100..." (§ 17-1517.b)

    **Why:** Tracking all violations and associated penalties is crucial for enforcement, compliance monitoring, and financial oversight across all regulated activities.

    **One row represents:** A single violation incident or penalty assessment.

    **Covers:** All civil and criminal violations and penalties issued by the DOHMH or its designated enforcement agencies across all regulated activities and programs.

    **Columns:**
    *   Violation ID
    *   Date of Violation
    *   Time of Violation
    *   Location ID (e.g., Building ID, Business ID, Vehicle ID, Premises Address)
    *   Violation Type (e.g., Sanitary, Licensing, Environmental, Animal Welfare, Tobacco, Lead, etc.)
    *   Specific Code/Rule Violated
    *   Description of Violation
    *   Enforcing Officer/Inspector ID
    *   Enforcing Agency
    *   Respondent/Violator ID (e.g., Person ID, Business ID)
    *   Penalty Amount Assessed
    *   Penalty Status (e.g., Issued, Paid, Contested, Reduced, Waived, Outstanding)
    *   Date Penalty Due
    *   Date Penalty Paid
    *   Adjudication Outcome (e.g., Guilty, Not Guilty, Dismissed, Cured)
    *   Date of Adjudication
    *   Associated Order ID (if applicable) (links to Dataset 2)
    *   Associated License/Permit ID (if applicable) (links to Dataset 3)
    *   Cure Period Offered (Yes/No)
    *   Cure Date (if applicable)
    *   First-Time Violation (Yes/No)
    *   Repeat Violation Count (for same offense within specified period)
    *   Misdemeanor (Yes/No)
    *   Imprisonment Term (if applicable)

2.  **Inspection Records**

    **Quotes:**
    *   "Any officer or employee of the department may visit any person who shall be reported to the department as being apparently or presumably sick of any communicable disease and report his or her opinion of such sickness to it in writing." (§ 17-106)
    *   "An officer or employee of the department shall visit and inspect all vessels coming to the wharves, landing places, or shores of the city, or within three hundred yards thereof, which are suspected of having on board any communicable disease, or of being likely to communicate such disease to the inhabitants of the city." (§ 17-107.a)
    *   "The powers of the department shall include the ordering and enforcing in the same manner as other orders are provided to be enforced, the repairs of buildings, houses and other structures; the regulation and control of all public markets in relation to the cleanliness, ventilation and drainage thereof and the prevention of sale or offering for sale of improper articles; the removal of any obstruction, matter or thing in or upon the public streets, sidewalks or places, which, in the opinion of the department, may lead to conditions dangerous to life or health; the prevention of accidents by which life or health may be endangered; and generally the abatement of all nuisances." (§ 17-113.a)
    *   "An officer or employee of the department shall visit and inspect all stores and places within the city which are suspected of containing putrid or unsound provisions or other articles unfit for human consumption or use or likely to communicate disease to the inhabitants, and make and sign a report in writing stating the stores, places and articles so inspected and the nature, state and situation thereof and such officer's or employee's opinion in relation thereto." (§ 17-165.a)
    *   "Within 14 days of receipt of a covered complaint, the department shall make its best effort to inspect the building to which such complaint pertains for signs of rat activity or conditions that attract rats, unless the department has inspected such building for the same within 90 days of the submission of such complaint or the department is otherwise currently engaged in pest control activities at the location of such building." (§ 17-133.4.b)
    *   "During an inspection, the department shall record the following information: 1. The date of the inspection; 2. The street address of the building so inspected; 3. Whether such building passed or failed such inspection, as determined by the department; 4. If any notice of violation relating to the presence of rats or order to abate a condition related to the presence of rats is issued to the person in charge of such building in response to such inspection, the number of such notices of violation or orders to abate so issued; and 5. The inspector’s observations of signs of rats or conditions that attract rats during such inspection or any subsequent inspection." (§ 17-133.4.b)
    *   "Each person issued a food vendor license or a permit to vend food from a vehicle or pushcart in a public place shall: a. Permit regular inspections by the department of any vehicle or pushcart used in the operation of his or her business, any premises under his or her control in which food intended to be sold or offered for sale by him or her as a food vendor is prepared, processed or stored and present such vehicle or pushcart for inspection at such place and time as may be designated by the department;" (§ 17-314.a)
    *   "The department shall establish and implement a system for grading and classifying inspection results for each vending vehicle or pushcart using letters to identify and represent a vending vehicle or pushcart's degree of compliance with laws and rules that require such vending vehicle and pushcart to operate in a sanitary manner to protect public health." (§ 17-325.3)
    *   "Stables in which horses used in a rental horse business are kept shall be open for inspection by authorized officers, veterinarians and employees of the department, and any persons designated by the commissioner to enforce the provisions of this subchapter, agents of the ASPCA, police officers, and employees of the department of consumer and worker protection." (§ 17-330.j)
    *   "The department shall conduct an inspection of the records of each boarding kennel, business or establishment to determine such facility's compliance with the provisions of this subchapter." (§ 17-368)
    *   "The acceptance of an application and fee for a new permit or the renewal of a permit shall not preclude the commissioner from taking any action that he or she deems necessary, including, but not limited to, the denial of a new permit or renewal permit if department or other investigatory or pre-permit inspections disclose conditions or circumstances indicating that a permit should not be issued or renewed." (§ 17-373.h)
    *   "The department shall, subject to the approval of the board of health, develop an electronic death registration system. Such electronic death registration system shall include an internet based electronic method of collecting, storing, recording, transmitting, amending and authenticating information necessary to complete a death registration." (§ 17-196.b)
    *   "In addition to or as part of any investigation required pursuant to section 27-2056.14, whenever a report has been made to the department of a person under 18 years of age with an elevated blood lead level that is at or above the blood lead reference level established pursuant to this subchapter, the department shall conduct such investigation as may be necessary to identify potential sources of such elevated blood lead level, including, but not limited to, inspecting the following areas: 1. Any dwelling unit in which the department determines such person is routinely present for 10 or more hours per week; and 2. Where a lead-based paint hazard is found in such a dwelling unit, any other dwelling unit in the same building in which a child under the age of one year resides... 3. Any covered facility... 4. Any park, playground or other area that is covered in bare soil..." (§ 17-911.a)
    *   "Whenever a report has been made to the department of a pregnant person with an elevated blood lead level, the department shall (i) conduct such investigation as may be necessary to identify potential sources of such elevated blood lead level, and (ii) after the birth of a child by such pregnant person, screen such child for elevated blood lead levels and assess whether the dwelling unit where such child resides contains a lead-based paint hazard or unsafe lead paint." (§ 17-911.b)
    *   "The department shall conduct a survey of such facility annually, and more often if necessary, to determine the physical condition of surface-coating material throughout each such facility and shall provide a copy of the survey results (i) to the department, which will make the information publicly available online, and (ii) to the parent or guardian of each child that attends such facility, as required by rules of the department." (§ 17-924.a)
    *   "Any owner of a building that has a water tank as part of its drinking water supply system shall have such water tank inspected at least once annually." (§ 17-194.b)
    *   "At a minimum, cooling towers, other than cooling towers whose use has been permanently discontinued and for which a notice of such discontinuation has been sent to the department of buildings, shall be inspected at least as frequently as every three months and tested at least as frequently as every month during periods of the year such cooling towers are in use." (§ 17-194.1.e)
    *   "Each inspection shall include an evaluation of the cooling tower and associated equipment for the presence of organic material, biofilm, algae and other visible contaminants." (§ 17-194.1.e.1)
    *   "Each test shall include collection of a sample to evaluate the presence of microbes in the water of the cooling tower." (§ 17-194.1.e.2)
    *   "Following each inspection of a child care service, the department shall post a summary child care service inspection report on the department's website and shall make summary child care service inspection reports available by calling 311." (§ 17-1302)
    *   "Each senior center and social adult day care that is a food service establishment shall be inspected by the department at least annually in accordance with article 81 of the New York City health code." (§ 17-1506.b)
    *   "The department shall establish and implement a system for grading and classifying inspection results for each vending vehicle or pushcart using letters to identify and represent a vending vehicle or pushcart's degree of compliance with laws and rules that require such vending vehicle and pushcart to operate in a sanitary manner to protect public health." (§ 17-325.3)
    *   "The department shall implement a consultative inspection program for food service establishments." (§ 17-1504.a)

    **Why:** Regular inspections are a core DOHMH function to ensure public health and safety across diverse regulated entities and environments.

    **One row represents:** A single inspection event.

    **Covers:** All inspections conducted by the DOHMH or its agents, including health inspections, environmental inspections, and compliance checks across various programs.

    **Columns:**
    *   Inspection ID
    *   Inspection Date
    *   Inspection Type (e.g., Communicable Disease Patient, Vessel, Building/Market, Unsound Articles, Rat, Food Vendor, Rental Horse Stable, Boarding Kennel, Pet Shop, Lead Hazard, Water Tank, Cooling Tower, Child Care Service, Food Service, Consultative, etc.)
    *   Inspected Entity Type (e.g., Person, Vessel, Building, Market, Store, Food Vending Unit, Stable, Kennel, Pet Shop, Dwelling Unit, Covered Facility, Water Tank, Cooling Tower, Child Care Service, Food Service Establishment, Senior Center, Social Adult Day Care)
    *   Inspected Entity ID (links to relevant entity datasets, e.g., Person ID, Vessel ID, Building ID, Food Vending Unit ID (3), Rental Horse ID (13), Pet Shop ID (15), Child Care Service ID (16), Cooling Tower ID (18), Water Tank ID (17))
    *   Inspector ID
    *   Inspector Department/Agency
    *   Inspection Outcome/Status (e.g., Pass, Fail, Compliant, Non-Compliant, Order Issued, Violation Issued)
    *   Detailed Observations/Findings
    *   Score/Grade (if applicable)
    *   Associated Violation ID (if applicable) (links to Dataset 1)
    *   Associated Order ID (if applicable) (links to Dataset 4)
    *   Complaint ID (if inspection was complaint-driven) (links to Dataset 5)
    *   Language Interpretation Services Used (Yes/No)
    *   Language of Interpretation (if applicable)

3.  **License and Permit Records**

    **Quotes:**
    *   "It shall be unlawful for any individual to act as a food vendor without having first obtained a license therefor from the commissioner in accordance with the provisions of this subchapter." (§ 17-307.a.1)
    *   "It shall be unlawful to vend food from any vehicle or pushcart in a public space without having first obtained a permit for such vehicle or pushcart from the commissioner in accordance with the provisions of this subchapter." (§ 17-307.b.1.a)
    *   "On or after July 1, 2022 all new permits issued under this subchapter, except fresh fruits and vegetables permits, shall be designated for use only when any holder of a supervisory license is physically present and vending." (§ 17-307.b.5.a)
    *   "It shall be unlawful for any person to operate a commissary, or place of food distribution, or a place wherein five or more pushcarts, or more than one vehicle are stored, without first obtaining a permit." (§ 17-307.c)
    *   "All licenses and permits issued pursuant to this subchapter shall be valid for two years unless sooner suspended or revoked." (§ 17-307.e)
    *   "The commissioner may issue temporary licenses and permits upon the furnishing of information and an application in such form and detail as such commissioner may prescribe and the payment of a fee pro-rated in accordance with the schedule of fees set forth in section 17-308 of this subchapter..." (§ 17-307.f.1)
    *   "On and after January first, nineteen hundred eighty-two no person shall use or offer the use of a horse in a rental horse business unless such horse is licensed pursuant to the provisions of this subchapter." (§ 17-327.a)
    *   "It shall be unlawful for any person to be a purveyor without a license therefor and it shall be unlawful for any person to be a supervising technician or technician without a certificate of competency therefor." (§ 17-335.b.1)
    *   "The department shall issue licenses and certificates of competency and renewals thereof pursuant to this section. Each such license, certificate and renewal shall expire on the thirty-first day of December next succeeding the date of issuance thereof." (§ 17-335.b.4)
    *   "The commissioner may order the owner of a dangerous dog to register such dog with the department." (§ 17-345.a)
    *   "No person shall engage in the practice of tattooing without having obtained a license to engage in such practice in the manner prescribed in this subchapter." (§ 17-357.a)
    *   "The commissioner may issue a seven-day temporary license to a person holding a license or similar certification or registration to engage in the practice of tattooing issued under the jurisdiction of another political subdivision, state or nation." (§ 17-357.c)
    *   "No person shall operate a pet shop without a permit issued by the commissioner pursuant to this subchapter." (§ 17-372.a)
    *   "It shall be unlawful for any individual to operate a retail tobacco store or a retail electronic cigarette store without having registered with the department in accordance with the rules of the department." (§ 17-513.3)
    *   "It shall be unlawful for a person to operate a non-tobacco hookah establishment without a permit from the department." (§ 17-513.5.a)
    *   "A motor carrier shall certify to the board that it has established a drug testing program as required by the provisions of this chapter." (§ 17-612.a)
    *   "Every applicant for a new or renewal permit to operate a child care service shall disclose whether a serious injury or the death of a child in its care, or the care of any of its owners, directors, employees, volunteers or agents, has occurred." (§ 17-1304.a)

    **Why:** Licensing and permitting are fundamental regulatory activities, requiring detailed tracking of applications, approvals, and status changes.

    **One row represents:** A single license, permit, registration, or certification issued or applied for.

    **Covers:** All licenses, permits, registrations, and certifications issued by the DOHMH, including food vendor licenses/permits, rental horse licenses, inhalation therapy licenses/certificates, dangerous dog registrations, tattooist licenses, pet shop permits, tobacco/e-cigarette retail registrations, non-tobacco hookah establishment permits, motor carrier drug testing certifications, and child care service permits.

    **Columns:**
    *   License/Permit ID
    *   Application ID (links to Dataset 6)
    *   License/Permit Type (e.g., Food Vendor License, Food Vending Permit, Supervisory Food Vendor License, Fresh Fruits & Vegetables Permit, Commissary Permit, Rental Horse License, Inhalation Therapy Purveyor License, Inhalation Therapy Supervising Technician Certificate, Inhalation Therapy Technician Certificate, Dangerous Dog Registration, Tattooist License, Temporary Tattooist License, Pet Shop Permit, Retail Tobacco Store Registration, Retail Electronic Cigarette Store Registration, Non-Tobacco Hookah Establishment Permit, Motor Carrier Drug Testing Certification, Child Care Service Permit)
    *   Licensee/Permittee ID (e.g., Person ID, Business ID, Organization ID)
    *   Issue Date
    *   Expiration Date
    *   Status (e.g., Active, Suspended, Revoked, Expired, Denied)
    *   Date of Status Change
    *   Reason for Status Change (if applicable)
    *   Geographical Restrictions (if applicable, e.g., Borough, Police Precinct)
    *   Authorized Vending Items (for food vendors)
    *   Vehicle/Pushcart ID (for food vending permits) (links to Dataset 12)
    *   Horse ID (for rental horse licenses) (links to Dataset 13)
    *   Associated Supervisory License ID (if applicable) (links to Dataset 3)
    *   Proof of Ownership (for food vending vehicle/pushcart leases)
    *   Lease Agreement Approval Status (for food vending vehicle/pushcart leases)
    *   Number of Permits Held (for food vendors, if applicable)
    *   Animal Abuse Registry Check Performed (for pet shops/animal rescue groups) (links to Dataset 20)
    *   Animal Abuse Registry Check Result (for pet shops/animal rescue groups)
    *   Workers' Compensation/Disability Insurance Proof (for pet shops)
    *   Uncorrected Violations/Unpaid Fines (for pet shops)
    *   Serious Injury/Death Disclosure (for child care services)
    *   Felony Conviction Disclosure (for child care services)

4.  **Public Health Orders and Enforcement Actions**

    **Quotes:**
    *   "To cause any avenue, street, alley or other passage whatever, to be fenced up or otherwise inclosed if it shall deem the public safety requires it, and to adopt suitable measures for preventing all persons from going to any part of the city so inclosed;" (§ 17-104.a.1)
    *   "To forbid all communication with the house or family infected with any communicable disease except by means of physicians, nurses or messengers to carry the necessary advice, medicines and provisions to the afflicted;" (§ 17-104.a.2)
    *   "To adopt such means for preventing all communication between any part of the city infected with a disease of communicable character and all other parts of the city, as shall be prompt and effectual." (§ 17-104.a.3)
    *   "If the department deem it probable that any such disease may be brought into the city or communicated to the inhabitants thereof, it may by order direct any vessel lying at a place within three hundred yards of any wharf, landing place or shore of the city to be removed at least three hundred yards therefrom within six hours after a copy of such order, certified by the secretary of the department, shall be delivered to the person or persons having command of such vessel, or to the master, owner or consignee thereof." (§ 17-107.b)
    *   "The board may issue a proclamation declaring any place where there shall be reason to believe a communicable disease actually exists, to be an infected place within the meaning of the health laws of this state." (§ 17-108.a)
    *   "The powers of the department shall include the ordering and enforcing in the same manner as other orders are provided to be enforced, the repairs of buildings, houses and other structures; the regulation and control of all public markets in relation to the cleanliness, ventilation and drainage thereof and the prevention of sale or offering for sale of improper articles; the removal of any obstruction, matter or thing in or upon the public streets, sidewalks or places, which, in the opinion of the department, may lead to conditions dangerous to life or health; the prevention of accidents by which life or health may be endangered; and generally the abatement of all nuisances." (§ 17-113.a)
    *   "The department shall have within the city all common law rights to abate any nuisance without suit, which can or does in this state belong to any person." (§ 17-114)
    *   "The department, when it shall judge it necessary, may cause any cargo or part thereof, or any matter or thing within the city, that may be putrid or otherwise dangerous to the public health, to be destroyed or removed." (§ 17-118)
    *   "Whenever in its opinion the protection of the public health requires the drainage of any lands in the city, by means other than sewers, the department may make an order describing the location of such lands, and directing the proper drainage thereof, and construction of drains therefor, by the commissioner of design and construction." (§ 17-119.a)
    *   "An order for the paving, filling, concreting, draining or regulating of any yards or cellars within the city shall be made by the department only upon reasonable notice to the owner or agent thereof." (§ 17-120)
    *   "Whenever the commissioner shall find, after investigation, that any physically handicapped child is in need of surgical, medical or therapeutic treatment or hospital care or appliances or devices, the commissioner, upon the request or with the consent of the legal custodian of such child, may order such surgical, medical or therapeutic treatment, hospital care or appliances or devices, and after investigation as provided in subdivision c hereof, may order the legally responsible relatives to pay the cost thereof." (§ 17-121.b)
    *   "The commissioner may send to such place as he or she may direct, all aliens and other persons in the city, not residents thereof, who shall be sick of any communicable disease." (§ 17-124)
    *   "Whenever any building or any part thereof in the city is infected with communicable disease, or by reason of want of repair has become dangerous to life or is unfit for human habitation... the department may issue an order requiring all persons therein to vacate such building or part thereof for the reasons to be stated therein." (§ 17-159)
    *   "Whenever any building or part thereof in the city, in the opinion of the department... is so unfit for human habitation that the evils in, or caused by such building, can not be remedied by repairs or otherwise except by the destruction of such building or a portion thereof, the department having first made an order to vacate such building, if it deem such course just and proper, may condemn the same and order it removed." (§ 17-160)
    *   "The department may by order direct the removal, to a place to be designated by it, of all things within the city which, in its opinion are unfit for human consumption or use or which shall be infected in any manner likely to communicate disease to the inhabitants." (§ 17-165.b)
    *   "The commissioner may order the humane destruction of any dog that kills or causes severe injury to a human being." (§ 17-344)
    *   "If, after the hearing, the commissioner determines that the dog is dangerous, he or she may order the owner to comply with one or more of the following requirements, in any combination thereof: a. Registration... b. Muzzling or confinement... c. Liability insurance... d. Humane destruction... e. Other remedies." (§ 17-345)
    *   "A horse for which such an order has been issued shall not be returned to work until it has recovered from the condition which caused the issuance of the order or until such condition has improved sufficiently that its return to work will not aggravate the condition or otherwise endanger the health of the horse." (§ 17-330.m)
    *   "The department may serve an order on the owner requiring compliance within a specified time. If such order is not complied with the department may authorize any agency of the city to act as agent of the department in executing such order and may recover the costs of such execution from the owner in accordance with any of the methods set forth in sections 17-149 through 17-158." (§ 17-194.1.g)
    *   "In the event that the department determines that an indoor allergen hazard exists, the department shall order the owner to correct the condition and the underlying causes of such a condition within twenty-one days, in a manner and under such safety conditions as it may specify, including the integrated pest management practices in section 27-2017.8 and the work practices established pursuant to section 27-2017.9." (§ 17-199.6.b)
    *   "Whenever a condition prohibited by this section is found to exist, the department shall immediately serve an order on the operator of such facility to remediate the condition." (§ 17-922.d)
